cut_comuna;comuna;cut_region;region;opciones;votos
6115;Rengo;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;298
6115;Rengo;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;649
6116;Requínoa;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;6153
6116;Requínoa;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;15407
6116;Requínoa;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;109
6116;Requínoa;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;259
6302;Chépica;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;3024
6302;Chépica;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;9665
6302;Chépica;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;82
6302;Chépica;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;154
6303;Chimbarongo;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;7853
6303;Chimbarongo;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;20253
6303;Chimbarongo;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;193
6303;Chimbarongo;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;412
6202;La Estrella;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;1222
6202;La Estrella;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;2287
6202;La Estrella;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;19
6202;La Estrella;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;68
6107;Las Cabras;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;6245
6107;Las Cabras;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;13236
6107;Las Cabras;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;169
6107;Las Cabras;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;235
6203;Litueche;6;Libertador Gral. Bernardo O'Higgins;APRUEBO;2153
6203;Litueche;6;Libertador Gral. Bernardo O'Higgins;RECHAZO;4159
6203;Litueche;6;Libertador Gral. Bernardo O'Higgins;VOTOS EN BLANCO;59
6203;Litueche;6;Libertador Gral. Bernardo O'Higgins;VOTOS NULOS;129
