"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"598";"OTRO PAÍS";"2022";307;10101;"Puerto Montt";10;"Los Lagos"
"599";"OTRO PAÍS";"2022";181;7301;"Curicó";7;"Maule"
"600";"OTRO PAÍS";"2022";331;7101;"Talca";7;"Maule"
"601";"OTRO PAÍS";"2022";58;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"602";"OTRO PAÍS";"2022";723;13301;"Colina";13;"Metropolitana de Santiago"
"603";"OTRO PAÍS";"2022";118;13104;"Conchalí";13;"Metropolitana de Santiago"
"604";"OTRO PAÍS";"2022";380;13106;"Estación Central";13;"Metropolitana de Santiago"
"605";"OTRO PAÍS";"2022";310;13108;"Independencia";13;"Metropolitana de Santiago"
"606";"OTRO PAÍS";"2022";144;13109;"La Cisterna";13;"Metropolitana de Santiago"
"607";"OTRO PAÍS";"2022";720;13110;"La Florida";13;"Metropolitana de Santiago"
"608";"OTRO PAÍS";"2022";5891;13114;"Las Condes";13;"Metropolitana de Santiago"
"609";"OTRO PAÍS";"2022";2079;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"610";"OTRO PAÍS";"2022";94;13117;"Lo Prado";13;"Metropolitana de Santiago"
"611";"OTRO PAÍS";"2022";341;13118;"Macul";13;"Metropolitana de Santiago"
"612";"OTRO PAÍS";"2022";646;13119;"Maipú";13;"Metropolitana de Santiago"
